Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
001040041,RC3,00030731,Medical Incident,04/13/2000,04/12/2000,04/13/2000 04:37:07 AM,04/13/2000 04:39:10 AM,04/13/2000 04:39:27 AM,,04/13/2000 04:43:12 AM,,,Other,04/13/2000 04:52:40 AM,200 Block of CHATTANOOGA ST,SF,94114,B06,11,5513,3,3,3,true,,1,RESCUE CAPTAIN,1,6,8,Noe Valley,"(37.7525693955708, -122.426336372621)",001040041-RC3
001040042,E01,00030732,Alarms,04/13/2000,04/12/2000,04/13/2000 05:04:19 AM,04/13/2000 05:05:08 AM,04/13/2000 05:05:36 AM,04/13/2000 05:07:29 AM,04/13/2000 05:09:52 AM,,,Other,04/13/2000 05:11:45 AM,0 Block of 4TH ST,SF,94103,B03,01,2212,3,3,3,false,,1,ENGINE,2,3,6,Financial District/South Beach,"(37.7851251468157, -122.404965960872)",001040042-E01
001040044,M02,00030734,Medical Incident,04/13/2000,04/12/2000,04/13/2000 05:27:43 AM,04/13/2000 05:28:08 AM,04/13/2000 05:28:31 AM,04/13/2000 05:30:26 AM,04/13/2000 05:34:15 AM,,,Other,04/13/2000 05:50:25 AM,800 Block of SACRAMENTO ST,SF,94108,B01,02,1326,1,1,2,false,,1,MEDIC,1,1,3,Chinatown,"(37.7932200130609, -122.406954395537)",001040044-M02
001040046,E05,00030736,Medical Incident,04/13/2000,04/12/2000,04/13/2000 05:55:16 AM,04/13/2000 05:56:32 AM,04/13/2000 05:57:03 AM,04/13/2000 05:59:35 AM,04/13/2000 06:00:44 AM,,,Other,04/13/2000 06:03:13 AM,1600 Block of GOLDEN GATE AVE,SF,94115,B05,05,4134,3,3,3,false,,1,ENGINE,1,5,5,Western Addition,"(37.7789392907473, -122.437306922591)",001040046-E05
001040048,M35,00030737,Medical Incident,04/13/2000,04/12/2000,04/13/2000 06:12:27 AM,04/13/2000 06:16:19 AM,04/13/2000 06:18:02 AM,04/13/2000 06:20:51 AM,04/13/2000 06:30:10 AM,04/13/2000 06:44:38 AM,04/13/2000 06:59:43 AM,Other,04/13/2000 07:26:41 AM,100 Block of TAYLOR ST,SF,94102,B03,01,1453,2,2,2,false,,1,MEDIC,1,3,6,Tenderloin,"(37.7836863385082, -122.410789885334)",001040048-M35
001040049,M08,00030738,Medical Incident,04/13/2000,04/12/2000,04/13/2000 06:17:04 AM,04/13/2000 06:18:10 AM,04/13/2000 06:19:00 AM,04/13/2000 06:20:51 AM,04/13/2000 06:23:09 AM,04/13/2000 06:33:29 AM,04/13/2000 06:43:23 AM,Other,04/13/2000 06:55:30 AM,500 Block of 5TH ST,SF,94107,B03,08,2242,1,1,2,true,,1,MEDIC,1,3,6,South of Market,"(37.7776242389287, -122.39998111124)",001040049-M08
001040051,RA38,00030739,Medical Incident,04/13/2000,04/12/2000,04/13/2000 06:37:43 AM,04/13/2000 06:39:24 AM,04/13/2000 06:40:54 AM,04/13/2000 06:43:28 AM,04/13/2000 06:47:01 AM,,,Other,04/13/2000 07:12:03 AM,1000 Block of POLK ST,SF,94109,B04,03,3121,1,1,2,false,,1,AIRPORT,1,4,6,Tenderloin,"(37.7861172118379, -122.419854245692)",001040051-RA38
001040053,RA13,00030743,Medical Incident,04/13/2000,04/12/2000,04/13/2000 06:58:08 AM,04/13/2000 07:00:48 AM,04/13/2000 07:09:46 AM,04/13/2000 07:12:24 AM,04/13/2000 07:15:35 AM,04/13/2000 07:52:16 AM,04/13/2000 07:41:14 AM,Other,04/13/2000 07:58:13 AM,600 Block of STOCKTON ST,SF,94108,B01,02,1325,1,1,2,false,,1,AIRPORT,1,1,3,Financial District/South Beach,"(37.7917834962828, -122.407352629091)",001040053-RA13
001040055,E16,00030742,Citizen Assist / Service Call,04/13/2000,04/12/2000,04/13/2000 07:05:11 AM,04/13/2000 07:08:01 AM,04/13/2000 07:08:37 AM,04/13/2000 07:11:52 AM,04/13/2000 07:13:39 AM,,,Other,04/13/2000 07:25:49 AM,200 Block of MALLORCA WAY,SF,94123,B04,16,3564,3,3,3,false,,1,ENGINE,1,4,2,Marina,"(37.8034164574435, -122.439180349764)",001040055-E16
001040057,T01,00030745,Citizen Assist / Service Call,04/13/2000,04/12/2000,04/13/2000 07:13:04 AM,04/13/2000 07:15:14 AM,04/13/2000 07:15:29 AM,,,,,Other,04/13/2000 07:35:07 AM,0 Block of 6TH ST,SF,94103,B03,01,2251,3,3,3,false,,1,TRUCK,1,3,6,South of Market,"(37.7812234542945, -122.408928070797)",001040057-T01
001040058,M12,00030746,Medical Incident,04/13/2000,04/12/2000,04/13/2000 07:20:00 AM,04/13/2000 07:22:17 AM,04/13/2000 07:23:30 AM,04/13/2000 07:26:27 AM,04/13/2000 07:39:10 AM,04/13/2000 07:56:04 AM,04/13/2000 08:09:18 AM,Other,04/13/2000 08:23:49 AM,300 Block of BOWLING GREEN DR,SF,94122,B07,12,7743,1,1,2,true,,1,MEDIC,1,7,5,Golden Gate Park,"(37.7689370751235, -122.459385072407)",001040058-M12
001040059,M15,00030747,Medical Incident,04/13/2000,04/12/2000,04/13/2000 07:24:48 AM,04/13/2000 07:27:00 AM,04/13/2000 07:27:56 AM,04/13/2000 07:34:13 AM,04/13/2000 07:37:54 AM,04/13/2000 08:01:57 AM,04/13/2000 08:22:38 AM,Other,04/13/2000 08:41:39 AM,200 Block of THRIFT ST,SF,94112,B09,33,8373,2,2,2,true,,1,MEDIC,1,9,11,Oceanview/Merced/Ingleside,"(37.7173943639744, -122.45965122532)",001040059-M15
001040060,E01,00030748,Medical Incident,04/13/2000,04/12/2000,04/13/2000 07:52:17 AM,04/13/2000 07:52:37 AM,04/13/2000 07:53:13 AM,04/13/2000 07:57:44 AM,,,,Other,04/13/2000 08:03:26 AM,1700 Block of OFARRELL ST,SF,94115,B01,01,1363,3,3,3,false,,1,ENGINE,3,4,5,Western Addition,"(37.783242038846, -122.433539263884)",001040060-E01
001040061,E43,00030749,Medical Incident,04/13/2000,04/12/2000,04/13/2000 07:51:29 AM,04/13/2000 07:55:35 AM,04/13/2000 07:55:54 AM,04/13/2000 07:57:24 AM,04/13/2000 08:00:38 AM,,,Other,04/13/2000 08:12:09 AM,200 Block of MADRID ST,SF,94112,B09,43,0613,3,3,3,false,,1,ENGINE,1,9,11,Excelsior,"(37.7255316247491, -122.429925994016)",001040061-E43
001040061,M43,00030749,Medical Incident,04/13/2000,04/12/2000,04/13/2000 07:51:29 AM,04/13/2000 07:55:35 AM,04/13/2000 07:55:54 AM,04/13/2000 07:59:58 AM,,04/13/2000 08:16:30 AM,04/13/2000 08:28:37 AM,Other,04/13/2000 09:26:54 AM,200 Block of MADRID ST,SF,94112,B09,43,0613,3,3,3,true,,1,MEDIC,3,9,11,Excelsior,"(37.7255316247491, -122.429925994016)",001040061-M43
001040064,B04,00030751,Structure Fire,04/13/2000,04/13/2000,04/13/2000 08:23:42 AM,04/13/2000 08:24:38 AM,04/13/2000 08:24:58 AM,04/13/2000 08:29:52 AM,04/13/2000 08:30:47 AM,,,Other,04/13/2000 08:32:15 AM,700 Block of PACIFIC AVE,SF,94133,B01,02,1332,3,3,3,false,,1,CHIEF,3,1,3,Chinatown,"(37.796699717573, -122.408014703843)",001040064-B04
001040064,E02,00030751,Structure Fire,04/13/2000,04/13/2000,04/13/2000 08:23:42 AM,04/13/2000 08:24:38 AM,04/13/2000 08:24:58 AM,04/13/2000 08:26:25 AM,04/13/2000 08:27:28 AM,,,Other,04/13/2000 08:32:15 AM,700 Block of PACIFIC AVE,SF,94133,B01,02,1332,3,3,3,false,,1,ENGINE,1,1,3,Chinatown,"(37.796699717573, -122.408014703843)",001040064-E02
001040067,E26,00030754,Medical Incident,04/13/2000,04/13/2000,04/13/2000 08:32:38 AM,04/13/2000 08:33:42 AM,04/13/2000 08:34:21 AM,04/13/2000 08:35:20 AM,04/13/2000 08:38:46 AM,,,Other,04/13/2000 08:43:28 AM,600 Block of BOSWORTH ST,SF,94131,B06,26,8146,3,3,3,false,,1,ENGINE,1,6,8,Glen Park,"(37.7337394520581, -122.434538950212)",001040067-E26
001040068,E10,00030755,Alarms,04/13/2000,04/13/2000,04/13/2000 08:34:50 AM,04/13/2000 08:36:44 AM,04/13/2000 08:37:04 AM,04/13/2000 08:39:56 AM,04/13/2000 08:42:32 AM,,,Other,04/13/2000 08:45:39 AM,2600 Block of GEARY BLVD,SF,94115,B05,10,4365,3,3,3,false,,1,ENGINE,2,5,2,Lone Mountain/USF,"(37.7822483679158, -122.446592481498)",001040068-E10
001040069,E37,00030756,Structure Fire,04/13/2000,04/13/2000,04/13/2000 08:39:10 AM,04/13/2000 08:39:12 AM,04/13/2000 08:39:30 AM,04/13/2000 08:40:38 AM,04/13/2000 08:42:21 AM,,,Other,04/13/2000 08:42:57 AM,25TH ST/WISCONSIN ST,SF,94107,B10,37,2565,3,3,3,true,,1,ENGINE,1,10,10,Potrero Hill,"(37.7521940654679, -122.398452381695)",001040069-E37
001040070,M12,00030758,Medical Incident,04/13/2000,04/13/2000,04/13/2000 08:39:43 AM,04/13/2000 08:41:37 AM,04/13/2000 08:48:44 AM,04/13/2000 08:51:12 AM,04/13/2000 08:58:57 AM,04/13/2000 09:23:14 AM,,Other,04/13/2000 09:03:27 AM,1800 Block of 9TH AVE,SF,94122,B08,22,7336,2,2,2,true,,1,MEDIC,1,8,7,Inner Sunset,"(37.7537771563703, -122.465666708675)",001040070-M12
001040071,A909,00030757,Medical Incident,04/13/2000,04/13/2000,04/13/2000 08:43:02 AM,04/13/2000 08:45:07 AM,04/13/2000 08:46:35 AM,04/13/2000 08:48:11 AM,,,,Other,04/13/2000 08:55:42 AM,1000 Block of DOLORES ST,SF,94114,B06,11,5513,3,3,3,false,,1,PRIVATE,3,6,8,Noe Valley,"(37.7526291900462, -122.425380466691)",001040071-A909
001040071,T11,00030757,Medical Incident,04/13/2000,04/13/2000,04/13/2000 08:43:02 AM,04/13/2000 08:45:07 AM,04/13/2000 08:46:35 AM,,04/13/2000 08:50:50 AM,,,Other,04/13/2000 08:53:04 AM,1000 Block of DOLORES ST,SF,94114,B06,11,5513,3,3,3,true,,1,TRUCK,2,6,8,Noe Valley,"(37.7526291900462, -122.425380466691)",001040071-T11
001040073,E01,00030760,Structure Fire,04/13/2000,04/13/2000,04/13/2000 08:53:31 AM,04/13/2000 08:54:38 AM,04/13/2000 08:54:53 AM,04/13/2000 08:57:10 AM,04/13/2000 09:36:28 AM,,,Other,04/13/2000 10:09:31 AM,1000 Block of FOLSOM ST,SF,94103,B03,27,2313,3,3,3,false,,1,ENGINE,1,3,6,South of Market,"(37.7777816676305, -122.406629219771)",001040073-E01
001040074,M02,00030761,Medical Incident,04/13/2000,04/13/2000,04/13/2000 09:00:11 AM,04/13/2000 09:00:24 AM,04/13/2000 09:04:41 AM,04/13/2000 09:05:12 AM,04/13/2000 09:11:02 AM,04/13/2000 09:24:24 AM,04/13/2000 09:50:51 AM,Other,04/13/2000 09:55:30 AM,600 Block of CLAY ST,SF,94111,B01,13,1233,1,1,2,false,,1,MEDIC,1,1,3,Chinatown,"(37.7946138635465, -122.403978967807)",001040074-M02
001040075,E42,00030762,Medical Incident,04/13/2000,04/13/2000,04/13/2000 09:10:24 AM,04/13/2000 09:11:01 AM,04/13/2000 09:11:58 AM,04/13/2000 09:15:02 AM,04/13/2000 09:19:04 AM,,,Other,04/13/2000 09:36:50 AM,3700 Block of SAN BRUNO AVE,SF,94134,B10,44,6266,3,3,3,true,,1,ENGINE,2,10,10,Visitacion Valley,"(37.7148913829501, -122.399790666636)",001040075-E42
001040075,RC3,00030762,Medical Incident,04/13/2000,04/13/2000,04/13/2000 09:10:24 AM,04/13/2000 09:11:01 AM,04/13/2000 09:11:58 AM,04/13/2000 09:13:59 AM,04/13/2000 09:19:58 AM,,,Other,04/13/2000 09:35:14 AM,3700 Block of SAN BRUNO AVE,SF,94134,B10,44,6266,3,3,3,true,,1,RESCUE CAPTAIN,3,10,10,Visitacion Valley,"(37.7148913829501, -122.399790666636)",001040075-RC3
001040076,M03,00030763,Medical Incident,04/13/2000,04/13/2000,04/13/2000 09:20:59 AM,04/13/2000 09:23:58 AM,04/13/2000 09:24:35 AM,04/13/2000 09:25:26 AM,04/13/2000 09:39:12 AM,04/13/2000 10:01:44 AM,04/13/2000 10:15:26 AM,Other,04/13/2000 10:38:51 AM,1000 Block of POLK ST,SF,94109,B04,03,3121,1,1,2,true,,1,MEDIC,1,4,6,Tenderloin,"(37.7861172118379, -122.419854245692)",001040076-M03
001040077,E41,00030764,Alarms,04/13/2000,04/13/2000,04/13/2000 09:30:26 AM,04/13/2000 09:31:08 AM,04/13/2000 09:31:25 AM,04/13/2000 09:33:07 AM,04/13/2000 09:35:24 AM,,,Other,04/13/2000 09:37:36 AM,1200 Block of PACIFIC AVE,SF,94109,B01,41,1511,3,3,3,false,,1,ENGINE,1,1,3,Nob Hill,"(37.7957194378055, -122.415818267301)",001040077-E41
001040079,E10,00030766,Alarms,04/13/2000,04/13/2000,04/13/2000 09:31:19 AM,04/13/2000 09:33:04 AM,04/13/2000 09:34:10 AM,04/13/2000 09:35:52 AM,04/13/2000 09:37:59 AM,,,Other,04/13/2000 09:39:36 AM,2800 Block of BROADWAY,SF,94123,B04,10,4226,3,3,3,false,,1,ENGINE,1,4,2,Pacific Heights,"(37.7931736175933, -122.444028632879)",001040079-E10
001040080,M02,00030767,Medical Incident,04/13/2000,04/13/2000,04/13/2000 09:50:32 AM,04/13/2000 09:52:32 AM,04/13/2000 09:56:25 AM,04/13/2000 09:57:03 AM,04/13/2000 10:13:12 AM,04/13/2000 10:44:44 AM,04/13/2000 10:56:13 AM,Other,04/13/2000 11:40:26 AM,1500 Block of BROADWAY,SF,94109,B04,04,3152,2,2,2,false,,1,MEDIC,1,4,3,Russian Hill,"(37.7958954987191, -122.422601519723)",001040080-M02
001040081,E07,00030768,Alarms,04/13/2000,04/13/2000,04/13/2000 09:55:20 AM,04/13/2000 09:57:23 AM,04/13/2000 09:58:35 AM,04/13/2000 10:02:07 AM,04/13/2000 10:06:19 AM,,,Other,04/13/2000 10:10:01 AM,3500 Block of 25TH ST,SF,94110,B06,11,5535,3,3,3,false,,1,ENGINE,2,6,8,Mission,"(37.7505461689345, -122.420751434951)",001040081-E07
001040082,E35,00030769,Alarms,04/13/2000,04/13/2000,04/13/2000 10:02:32 AM,04/13/2000 10:03:25 AM,04/13/2000 10:04:07 AM,,04/13/2000 10:07:25 AM,,,Other,,0 Block of TOWNSEND ST,SF,94107,B03,35,0938,3,3,3,false,,1,ENGINE,1,3,6,Financial District/South Beach,"(37.7817167732365, -122.389149167513)",001040082-E35
001040083,RA08,00030770,Medical Incident,04/13/2000,04/13/2000,04/13/2000 10:12:25 AM,04/13/2000 10:15:46 AM,04/13/2000 10:17:56 AM,04/13/2000 10:22:13 AM,,,,Other,04/13/2000 01:32:06 PM,700 Block of OFARRELL ST,SF,94109,B01,01,1363,1,1,2,false,,1,AIRPORT,1,4,6,Tenderloin,"(37.7853258318143, -122.417091509186)",001040083-RA08
001040085,E24,00030772,Medical Incident,04/13/2000,04/13/2000,04/13/2000 10:20:46 AM,04/13/2000 10:21:35 AM,04/13/2000 10:22:34 AM,,04/13/2000 10:26:59 AM,,,Other,04/13/2000 10:46:33 AM,100 Block of COLLINGWOOD ST,SF,94114,B06,06,0543,3,3,3,false,,1,ENGINE,3,6,8,Castro/Upper Market,"(37.7600190563185, -122.436104378198)",001040085-E24
001040086,E26,00030773,Citizen Assist / Service Call,04/13/2000,04/13/2000,04/13/2000 10:21:26 AM,04/13/2000 10:23:11 AM,04/13/2000 10:23:46 AM,04/13/2000 10:24:27 AM,04/13/2000 10:28:25 AM,,,Other,04/13/2000 10:34:32 AM,400 Block of HOFFMAN AVE,SF,94114,B06,24,5517,3,3,3,false,,1,ENGINE,1,6,8,Noe Valley,"(37.750105701763, -122.440468327667)",001040086-E26
001040087,E10,00030774,Medical Incident,04/13/2000,04/13/2000,04/13/2000 10:21:41 AM,04/13/2000 10:23:24 AM,04/13/2000 10:24:37 AM,04/13/2000 10:26:24 AM,04/13/2000 10:27:46 AM,,,Other,04/13/2000 10:32:31 AM,3000 Block of CLAY ST,SF,94115,B04,10,4232,3,3,3,false,,1,ENGINE,2,4,2,Pacific Heights,"(37.7896142778496, -122.443308741909)",001040087-E10
001040088,E16,00030775,Alarms,04/13/2000,04/13/2000,04/13/2000 10:30:16 AM,04/13/2000 10:30:41 AM,04/13/2000 10:30:54 AM,04/13/2000 10:32:46 AM,04/13/2000 10:35:04 AM,,,Other,04/13/2000 10:43:48 AM,FILBERT ST/GOUGH ST,SF,94123,B04,04,3145,3,3,3,false,,1,ENGINE,1,4,2,Marina,"(37.7990666836169, -122.427457297641)",001040088-E16
001040090,E01,00030777,Structure Fire,04/13/2000,04/13/2000,04/13/2000 10:29:54 AM,04/13/2000 10:34:14 AM,04/13/2000 10:34:24 AM,,04/13/2000 10:36:50 AM,,,Other,04/13/2000 10:37:11 AM,MARKET ST/STOCKTON ST,SF,94103,B03,01,1322,3,3,3,false,,1,ENGINE,1,1,6,South of Market,"(37.7857439877905, -122.405831012392)",001040090-E01
